task_id	category	episode_idx	success	steps	max_steps	seed	termination	strict_order_complete	strict_order_violation
TDL10_001	Decomposition	0	False	221	520	7	custom_rule_violation	True	False
TDL10_001	Decomposition	1	False	209	520	8	custom_rule_violation	True	False
TDL10_001	Decomposition	2	False	266	520	9	custom_rule_violation	True	False
TDL10_001	Decomposition	3	False	222	520	10	custom_rule_violation	True	False
TDL10_001	Decomposition	4	False	216	520	11	custom_rule_violation	True	False
TDL10_002	Decomposition	0	False	96	520	107	custom_rule_violation	True	False
TDL10_002	Decomposition	1	False	90	520	108	custom_rule_violation	True	False
TDL10_002	Decomposition	2	False	88	520	109	custom_rule_violation	True	False
TDL10_002	Decomposition	3	False	99	520	110	custom_rule_violation	True	False
TDL10_002	Decomposition	4	False	114	520	111	custom_rule_violation	True	False
TDL10_003	Decomposition	0	False	197	520	207	custom_rule_violation	True	False
TDL10_003	Decomposition	1	False	215	520	208	custom_rule_violation	True	False
TDL10_003	Decomposition	2	False	220	520	209	custom_rule_violation	True	False
TDL10_003	Decomposition	3	False	195	520	210	custom_rule_violation	True	False
TDL10_003	Decomposition	4	False	216	520	211	custom_rule_violation	True	False
TDL10_004	Decomposition	0	False	120	520	307	custom_rule_violation	True	False
TDL10_004	Decomposition	1	False	121	520	308	custom_rule_violation	True	False
TDL10_004	Decomposition	2	False	467	520	309	custom_rule_violation	True	False
TDL10_004	Decomposition	3	False	115	520	310	custom_rule_violation	True	False
TDL10_004	Decomposition	4	False	520	520	311	timeout	True	False
TDL10_005	Decomposition	0	False	477	520	407	custom_rule_violation	True	False
TDL10_005	Decomposition	1	False	351	520	408	custom_rule_violation	True	False
TDL10_005	Decomposition	2	False	369	520	409	custom_rule_violation	True	False
TDL10_005	Decomposition	3	False	268	520	410	custom_rule_violation	True	False
TDL10_005	Decomposition	4	False	335	520	411	custom_rule_violation	True	False
TDL10_006	Decomposition	0	False	142	520	507	custom_rule_violation	True	False
TDL10_006	Decomposition	1	False	136	520	508	custom_rule_violation	True	False
TDL10_006	Decomposition	2	False	224	520	509	custom_rule_violation	True	False
TDL10_006	Decomposition	3	True	520	520	510	custom_goal_at_end	True	False
TDL10_006	Decomposition	4	False	142	520	511	custom_rule_violation	True	False
TDL10_008	Decomposition	0	False	79	520	607	custom_rule_violation	True	False
TDL10_008	Decomposition	1	False	88	520	608	custom_rule_violation	True	False
TDL10_008	Decomposition	2	False	91	520	609	custom_rule_violation	True	False
TDL10_008	Decomposition	3	False	90	520	610	custom_rule_violation	True	False
TDL10_008	Decomposition	4	False	78	520	611	custom_rule_violation	True	False
TDL10_009	Decomposition	0	False	249	520	707	custom_rule_violation	True	False
TDL10_009	Decomposition	1	False	307	520	708	custom_rule_violation	True	False
TDL10_009	Decomposition	2	False	242	520	709	custom_rule_violation	True	False
TDL10_009	Decomposition	3	False	249	520	710	custom_rule_violation	True	False
TDL10_009	Decomposition	4	False	299	520	711	custom_rule_violation	True	False
TDL10_010	Decomposition	0	False	119	520	807	custom_rule_violation	True	False
TDL10_010	Decomposition	1	False	122	520	808	custom_rule_violation	True	False
TDL10_010	Decomposition	2	False	122	520	809	custom_rule_violation	True	False
TDL10_010	Decomposition	3	False	115	520	810	custom_rule_violation	True	False
TDL10_010	Decomposition	4	False	140	520	811	custom_rule_violation	True	False
TDL10_011	Decomposition	0	False	259	520	907	custom_rule_violation	True	False
TDL10_011	Decomposition	1	False	240	520	908	custom_rule_violation	True	False
TDL10_011	Decomposition	2	False	250	520	909	custom_rule_violation	True	False
TDL10_011	Decomposition	3	False	250	520	910	custom_rule_violation	True	False
TDL10_011	Decomposition	4	False	309	520	911	custom_rule_violation	True	False
TDL10_012	Decomposition	0	False	132	520	1007	custom_rule_violation	True	False
TDL10_012	Decomposition	1	False	135	520	1008	custom_rule_violation	True	False
TDL10_012	Decomposition	2	False	132	520	1009	custom_rule_violation	True	False
TDL10_012	Decomposition	3	False	144	520	1010	custom_rule_violation	True	False
TDL10_012	Decomposition	4	False	150	520	1011	custom_rule_violation	True	False
TDL10_013	Decomposition	0	False	257	520	1107	custom_rule_violation	True	False
TDL10_013	Decomposition	1	False	252	520	1108	custom_rule_violation	True	False
TDL10_013	Decomposition	2	False	242	520	1109	custom_rule_violation	True	False
TDL10_013	Decomposition	3	False	256	520	1110	custom_rule_violation	True	False
TDL10_013	Decomposition	4	False	242	520	1111	custom_rule_violation	True	False
TDL10_014	Decomposition	0	False	132	520	1207	custom_rule_violation	True	False
TDL10_014	Decomposition	1	False	143	520	1208	custom_rule_violation	True	False
TDL10_014	Decomposition	2	False	141	520	1209	custom_rule_violation	True	False
TDL10_014	Decomposition	3	False	146	520	1210	custom_rule_violation	True	False
TDL10_014	Decomposition	4	False	145	520	1211	custom_rule_violation	True	False
TDL10_016	Decomposition	0	False	143	520	1307	custom_rule_violation	True	False
TDL10_016	Decomposition	1	False	139	520	1308	custom_rule_violation	True	False
TDL10_016	Decomposition	2	False	140	520	1309	custom_rule_violation	True	False
TDL10_016	Decomposition	3	False	136	520	1310	custom_rule_violation	True	False
TDL10_016	Decomposition	4	False	152	520	1311	custom_rule_violation	True	False
TDC40_001	Decomposition	0	False	227	520	1407	custom_rule_violation	True	False
TDC40_001	Decomposition	1	False	239	520	1408	custom_rule_violation	True	False
TDC40_001	Decomposition	2	False	250	520	1409	custom_rule_violation	True	False
TDC40_001	Decomposition	3	False	255	520	1410	custom_rule_violation	True	False
TDC40_001	Decomposition	4	False	204	520	1411	custom_rule_violation	True	False
TDC40_002	Decomposition	0	False	225	520	1507	custom_rule_violation	True	False
TDC40_002	Decomposition	1	False	243	520	1508	custom_rule_violation	True	False
TDC40_002	Decomposition	2	False	262	520	1509	custom_rule_violation	True	False
TDC40_002	Decomposition	3	False	215	520	1510	custom_rule_violation	True	False
TDC40_002	Decomposition	4	False	252	520	1511	custom_rule_violation	True	False
TDC40_003	Decomposition	0	False	508	520	1607	custom_rule_violation	True	False
TDC40_003	Decomposition	1	False	372	520	1608	custom_rule_violation	True	False
TDC40_003	Decomposition	2	True	520	520	1609	custom_goal_at_end	True	False
TDC40_003	Decomposition	3	False	378	520	1610	custom_rule_violation	True	False
TDC40_003	Decomposition	4	True	520	520	1611	custom_goal_at_end	True	False
TDC40_004	Decomposition	0	False	193	520	1707	custom_rule_violation	True	False
TDC40_004	Decomposition	1	False	163	520	1708	custom_rule_violation	True	False
TDC40_004	Decomposition	2	False	371	520	1709	custom_rule_violation	True	False
TDC40_004	Decomposition	3	False	181	520	1710	custom_rule_violation	True	False
TDC40_004	Decomposition	4	False	211	520	1711	custom_rule_violation	True	False
